"","value"
"1090","dance-pop,boy band,uk,pop"
"1091","pop-rock,soul pop,soul,rock,r&;b,pop"
"1092","hip-hop,soul,screen,rap,producer"
"1093","folk,country,adult alternative,adult contemporary,pop-rock,pop,rock"
"1094","christmas,a cappella,pop"
"1095","dance-pop,electro-pop,pop"
"1096","producer,east coast,cloud rap,canada,rap"
"1097","ballad,ireland,adult contemporary,new age,pop"
"1098","hard rock,glam rock,rock"
"1099","folk,country,pop"
"1100","rock,electronic rock,glam rock"
"1101","pop,en espa\xc3\xb1ol,bachata"
"1102","en espa\xc3\xb1ol,latin pop,r&;b,pop,bachata"
"1103","shadyxv,pop,rap"
"1104","ballad,pop-rock,rock,canada,pop"
"1105","dance,electro-pop,r&;b,adult alternative,adult contemporary,funk,disco,pop"
"1106","ska,pop-rock,pop,rock"
"1107","lgbtq+,dance-pop,synth-pop,pop"
"1108","pop-rock,ballad,adult contemporary,piano,pop,rock"
"1109","producer,dirty south,pop,pop country,hip-hop,remix,rap,country"
"1110","post-grunge,alternative rock,hard rock,rock"
"1111","soundtrack,screen,ballad,cover,pop"
"1112","polska,pop,bachata,latin pop,en espa\xc3\xb1ol"
"1113","rap,producer"
"1114","lgbtq+,rap"
"1115","dance,electro house,dance-pop,synth-pop,uk,pop,electronic"
"1116","folk rock,pop-rock,rock"
"1117","producer,canada,rap"
"1118","alternative r&;b,canada,rap"
"1119","soul,canada,rap,producer"
"1120","baroque pop,alternative pop,alternative,soundtrack,pop"
"1121","rock,electronic rock,pop,electro house,electro,dance,electronic"
"1122","indie,indie rock,alternative pop,alternative,alternative rock,pop-rock,pop,soundtrack,rock"
"1123","pop,dance,trance"
"1124","soul pop,piano,ballad,adult contemporary,r&;b,pop"
"1125","screen,soundtrack,alternative,alternative rock,rock"
"1126","uk,r&;b,pop"
"1127","broadway,uk,pop"
"1128","disco,art rock,baroque pop,alternative dance,dance-pop,indie rock,rock"
"1129","salsa,latin music,pop,en espa\xc3\xb1ol"
"1130","comedy,indie rap,pop,rap"
"1131","dance-pop,dance,pop,r&;b"
"1132","electro-pop,dance-pop,pop"
"1133","uk,piano,ballad,r&;b,pop"
"1134","canada,remix,trap,rap"
"1135","remix,soul,soul pop,r&;b,rap"
"1136","fashion,electronic,trap,experimental,pop,rap,producer"
"1137","canada,trap,cloud rap,rap"
"1138","folk,country,rock"
"1139","easy listening,adult contemporary,piano,ballad,neo soul,soul pop,r&;b,pop"
"1140","screen,soundtrack,dance,dance-pop,pop"
"1141","pop-rock,pop,alternative rock,rock"
"1142","pop,dance-pop"
"1143","soul pop,soul,pop,rap,r&;b"
"1144","adult alternative,adult contemporary,pop,pop-rock,indie pop,indie rock,folk rock,rock"
"1145","pop,electro-pop,tech,reggaeton,dubstep,dancehall,dance,electro,r&;b,electronic,rap"
"1146","uk,rock"
"1147","screen,soundtrack,teen pop,alternative pop,pop,pop-rock,disney,rap"
"1148","adult alternative,electronic rock,electro-pop,pop,alternative,alternative pop,alternative rock,pop-rock,punk rock,pop-punk,rock"
"1149","soundtrack,electro-pop,synth-pop,pop"
"1150","electro-pop,dance-pop,power pop,pop"
"1151","pop-punk,pop-rock,rock,canada,pop"
"1152","korean,memes,k-pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),pop"
"1153","funk,disco,r&;b,pop"
"1154","conscious hip-hop,west coast,producer,rap"
"1155","pop country,pop-rock,dance-pop,country,pop"
"1156","punk rock,glam rock,rapcore,rock,producer,rap,industrial"
"1157","uk,adult alternative,adult contemporary,soul pop,soul,pop-rock,pop,r&;b,rock"
"1158","east coast,soundtrack,rap"
"1159","electronic,pop,drumstep"
"1160","dance,memes,electronic,pop"
"1161","progressive house,pop,electronic"
"1162","experimental,electronic,industrial,producer,rap"
"1163","east coast,electronic,dubstep,rap"
"1164","pop-rock,dubstep,electro-pop,memes,pop"
"1165","country,singer-songwriter,folk rock,ballad,adult alternative,blues rock,pop-rock,rock"
"1166","electronic,pop,r&;b"
"1167","easy listening,ballad,singer-songwriter,acoustic,folk,folk rock,adult alternative,rock"
"1168","electronic,uk,rap"
"1169","posse cut,east coast,west coast,remix,trap,rap"
"1170","rock,uk,rap,pop"
"1171","dance-pop,girl group,r&;b,bubblegum pop,uk,pop"
"1172","cloud rap,pop,r&;b,rock"
"1173","soundtrack,pop,rap"
"1174","rock,country,rap"
"1175","electro-hop,remix,trap,rap"
"1176","adult alternative,adult contemporary,folk rock,indie pop,indie rock,rock"
"1177","hip-hop,rap,pop,r&;b"
"1178","american idol,pop"
"1179","uk,pop,electronic"
"1180","progressive house,dance-pop,dance,pop,electronic"
"1181","adult alternative,adult contemporary,folk,folk rock,pop-rock,pop,uk,rock"
"1182","adult alternative,alternative pop,alternative rock,pop-rock,alternative,indie rock,pop,rock"
"1183","canada,rap,pop"
"1184","pop,adult alternative,adult contemporary,pop-rock,folk rock,folk,indie pop,indie rock,indie,alternative,alternative rock,rock"
"1185","electronica,electronic rock,pop-rock,pop,rock"
"1186","electro-pop,boy band,power pop,uk,pop"
"1187","pop,pop-rock,r&;b,synth-pop,electronic"
"1188","conscious hip-hop,west coast,rap"
"1189","english translation,translation,electro-pop,pop,youtube,memes,k-pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),korean"
"1190","adult alternative,adult contemporary,pop-rock,folk rock,folk,american idol,pop,rock"
"1191","hyphy,west coast,rap"
"1192","pop-punk,pop-rock,alternative,rock"
"1193","electronic,dance-pop,dance,canada,rap,pop"
"1194","adult alternative,americana,pop-rock,indie rock,folk rock,rock"
"1195","country,rap"
"1196","pop,neo soul,singer-songwriter,trip-hop,soul,soul pop,r&;b"
"1197","adult alternative,pop-rock,piano,adult contemporary,pop,alternative rock,alternative pop,indie rock,indie pop,rock"
"1198","ireland,pop-rock,philosophy,pop,rock"
"1199","alternative r&;b,hip-hop,canada,rap,r&;b"
"1200","chicago drill,trap,drill,rap"
"1201","boy band,folk,uk,pop"
"1202","dance,pop,electronic,r&;b,rap"
"1203","orchestral,adult alternative,soundtrack,uk,rock,pop,screen,theme song"
"1204","pop,conscious hip-hop,memes,west coast,rap,producer"
"1205","synth-pop,pop,rap"
"1206","adult alternative,soul,blues rock,roots,blues,rock"
"1207","uk,electro-pop,dance-pop,synth-pop,pop"
"1208","producer,art pop,singer-songwriter,adult alternative,alternative pop,adult contemporary,ballad,indie pop,pop"
"1209","east coast,producer,rap"
"1210","dance-pop,teen pop,canada,memes,pop"
"1211","electronic,comedy,rap"
"1212","dance,dance-pop,canada,rap,electronic,pop"
"1213","remix,trap,rap"
"1214","hip-hop,west coast,r&;b,rap"
"1215","dance-pop,country,pop-rock,pop"
"1216","alternative r&;b,alternative pop,hip-hop,r&;b"
"1217","boy band,bubblegum pop,uk,pop"
"1218","canada,dmv,rap"
"1219","adult alternative,adult contemporary,pop-rock,pop,rock"
"1220","ballad,country,pop"
"1221","pop,musicals"
"1222","electro-pop,pop,rock"
"1223","dance-pop,edm,pop,dance,r&;b"
"1224","electro house,dance-pop,pop"
"1225","house,electro-pop,dance,pop"
"1226","pop,dance-pop,electronic"
"1227","r&;b,electro-pop,dance,pop"
"1228","french r&;b,r&;b"
"1229","trap,hip-hop,memes,producer,rap"
"1230","rap,electronic,pop,dance"
"1231","adult alternative,adult contemporary,ballad,pop-rock,pop,rock"
"1232","electronic,r&;b,pop"
"1233","alternative,indie,electronic pop,electro-pop,alternative pop,indie pop,bubblegum pop,pop"
"1234","rock,pop,alternative pop,alternative rock,country"
"1235","rock,power pop,alternative rock"
"1236","house,electro-pop,pop"
"1237","electro-pop,boy band,power pop,pop-rock,rock,uk,pop"
"1238","alternative pop,indie rock,alternative rock,piano,adult contemporary,indie pop,adult alternative,ballad,pop,rock"
"1239","alternative,tv,screen,cover,soundtrack,pop"
"1240","synth-pop,pop,rock"
"1241","trap,drill,rap"
"1242","country,news"
"1243","rock,alternative rock,electronic rock,rap"
"1244","pop,pop-rock"
"1245","pop,canada"
"1246","pop-punk,rock"
"1247","rock,adult alternative,pop-rock,alternative dance,alternative rock,alternative pop,post-punk,electro-pop,dance-pop,synth-pop,indie pop,indie rock,pop"
"1248","pop,alternative rock,electronic rock,ska,rock"
"1249","pop,country rap,rap"
"1250","pop,electronic,dance-pop"
"1251","gaming,electronic,uk,pop"
"1252","rock,boy band,pop-rock,uk,pop"
"1253","blues rock,rock"
"1254","r&;b,rock"
"1255","alternative rock,rock"
"1256","electro,dubstep,electronic,dance,rock"
"1257","adult alternative,electronic rock,alternative dance,alternative rock,electro-pop,dream-pop,pop,synth-pop,new wave,electronic,indie,alternative"
"1258","power pop,dance-pop,pop"
"1259","hip-hop,producer,memes,hyphy,west coast,canada,rap"
"1260","electronic,pop,rap"
"1261","alternative r&;b,electronic,r&;b,pop"
"1262","remix,rap,r&;b,pop"
"1263","electro-pop,electronic,r&;b,pop"
"1264","alternative rock,rock,electronic rock,rap"
"1265","boy band,teen pop,rock,dance-pop,electronic rock"
"1266","house,edm,dance,r&;b,pop"
"1267","ballad,rock,soul,uk,pop"
"1268","soundtrack,pop,sertanejo,latin music,em portugu\xc3\xaas,brasil"
"1269","blues,adult alternative,blue-eyed soul,soul,pop,r&;b,rock"
"1270","electro-pop,pop,rap"
"1271","screen,alternative rock,soundtrack,country,pop"
"1272","ballad,singer-songwriter,adult alternative,americana,blues rock,pop-rock,rock"
"1273","electronic,dance,rap,pop"
"1274","adult contemporary,dance-pop,electronic rock,electro-pop,pop-rock,pop"
"1275","alternative pop,alternative rock,alternative,electronic rock,synth-pop,pop-rock,uk,pop,rock"
"1276","west coast,hyphy,rap"
"1277","folk,indie,screen,soundtrack,country,pop"
"1278","rock,dance,electro,electronic,dubstep"
"1279","dance-pop,pop,rap"
"1280","electronic,r&;b"
"1281","alternative,australia,indie,pop,rock"
"1282","screen,pop,soundtrack"
"1283","pop,pop-rock,blue-eyed soul,rock"
"1284","alternative pop,alternative rock,alternative,uk,pop-rock,rock"
"1285","easy listening,soul pop,adult alternative,adult contemporary,ballad,piano,pop,soul"
"1286","pop,blues,adult alternative,adult contemporary,blue-eyed soul,soul"
"1287","jamaica,pop,dancehall"
"1288","soul,r&;b,rap"
"1289","bubblegum pop,dance-pop,pop"
"1290","electro-pop,electronic,dance,r&;b,pop"
"1291","soundtrack,dance,dance-pop,pop,rap"
"1292","alternative pop,alternative,alternative rock,pop,rock"
"1293","pop,house,electronic rock,electronic,dance-pop,synth-pop"
"1294","eurodance,dance-pop,electro-pop,pop"
"1295","alternative,adult alternative,alternative rock,indie rock,rock"
"1296","cover,soundtrack,pop,soul pop,soul,r&;b"
"1297","r&;b,pop-rock,pop,rap"
"1298","cover,screen,soundtrack,pop"
"1299","dance,pop,r&;b"
"1300","dance-pop,alternative rock,pop-rock,pop,rock"
"1301","dance-pop,r&;b"
"1302","electro,experimental,hyphy,bounce,hip-hop,beef,rap"
"1303","dubstep,house,progressive house,electronic,pop"
"1304","r&;b,electro-pop,pop,rap"
"1305","indie rock,adult alternative,memes,electronic rock,electro-pop,electronic,pop-rock,pop,alternative pop,alternative,alternative rock,rock"
"1306","techno,electronic rock,dance-pop,electronic,electro-pop,synth-pop,pop"
"1307","dance,dubstep,rock"
"1308","ballad,baroque pop,indie pop,pop"
"1309","pop-rock,canada,pop"
"1310","holiday,christmas,canada,pop"
"1311","dance,electro,dubstep,electronic,pop"
"1312","pop,glam rock,pop-rock,ballad"
"1313","christmas,rap,canada,pop"
"1314","christmas,soundtrack,screen,cover,pop"
"1315","pop,bachata,latin pop,latin music,en espa\xc3\xb1ol"
"1316","cover,christmas,holiday,jazz,pop"
"1317","pop-rock,country,pop"
"1318","holiday,christmas,jazz,pop"
"1319","pop,adult alternative,adult contemporary,pop-rock,rock"
"1320","dance-pop,eurodance,dance,pop"
"1321","canada,country"
"1322","rock,pop,country"
"1323","trap,conscious hip-hop,rap"
"1324","alternative rock,pop-rock,dance-pop,pop,rock"
"1325","hi-nrg,dance-pop,pop"
"1326","motown,producer,canada,rap"
"1327","electronic rock,electronic,electro-pop,disco,dance-pop,pop"
"1328","soul,soul pop,funk,r&;b"
"1329","soul,neo soul,soul pop,r&;b,pop"
"1330","ballad,piano,rock"
"1331","uk,electronic,electronic rock,alternative pop,alternative,alternative rock,pop-rock,pop,rock"
"1332","post-grunge,grunge,alternative rock,indie rock,hard rock,rock"
"1333","tv,cover,pop"
"1334","italy,dmv,eurodance,electro house,r&;b"
"1335","pop,electronic,rap"
"1336","r&;b,blues,rock"
"1337","soul,jazz,r&;b"
"1338","dance-pop,dance,rap,pop"
"1339","american idol,country,rock"
"1340","remix,hip-hop,electronic,rap,pop"
"1341","gangsta rap,hardcore hip-hop,rap"
"1342","dmv,pop,r&;b"
"1343","pop-rock,r&;b,pop"
"1344","dance-pop,electro-pop,pop,r&;b"
"1345","art pop,art rock,indie rock,indie pop,alternative,alternative rock,rock"
"1346","gangsta rap,reggae,r&;b,pop"
"1347","uk rap,uk,rap"
"1348","dance-pop,rock,dance,electronic,pop"
"1349","pop-rock,canada,pop,rock"
"1350","nu-metal,alternative metal,hard rock,thrash metal,metal,heavy metal,groove metal,rock"
"1351","bluegrass,country"
"1352","latin pop,pop"
"1353","gospel,religion,christian,r&;b,pop"
"1354","pop-rock,adult contemporary,ballad,pop,rock"
"1355","pop-punk,pop-rock,country,pop"
"1356","adult contemporary,dance-pop,rock,pop"
"1357","cover,disney,soundtrack,dance,dance-pop,pop"
"1358","rock,post-grunge,alternative metal"
"1359","electronic,dance,r&;b,pop"
"1360","ballad,alternative rock,rock"
"1361","pop,reggaeton,en espa\xc3\xb1ol"
"1362","rapcore,rap"
"1363","electro house,dance,pop"
"1364","pop,electro-pop,rap"
"1365","uk,alternative,alternative rock,rock"
"1366","electronic,electro-pop,synth-pop,disco,lgbtq+,pop"
"1367","tv,screen,teen pop,dance-pop,synth-pop,soundtrack,pop,r&;b"
"1368","canada,dmv,pop,r&;b"
"1369","r&;b,neo soul,soul,soul pop,pop"
"1370","pop,producer,rap"
"1371","ballad,adult contemporary,soul pop,soul,r&;b,pop"
"1372","adult alternative,indie rock,folk,folk rock,uk,rock"
"1373","post-grunge,alternative,alternative rock,rock"
"1374","electro house,art pop,eurodance,electro-pop,dance-pop,pop"
"1375","hardcore hip-hop,beef,hip-hop,rap"
"1376","piano,soul pop,soul,ballad,adult contemporary,r&;b,pop"
"1377","pop,cover,pop country"
"1378","portugal,em portugu\xc3\xaas,en espa\xc3\xb1ol,pop,reggaeton"
"1379","synth rock,synth-pop,electronic rock,electro-pop,pop,electronic,pop-rock,pop-punk,punk rock,alternative pop,alternative,alternative rock,rock"
"1380","techno,electronic rock,electro-pop,synth-pop,electronic,pop"
"1381","cover,soundtrack,pop"
"1382","screen,soundtrack,blue-eyed soul,cover,pop"
"1383","boy band,west coast,dance-pop,electro-pop,teen pop,pop"
"1384","soundtrack,musicals,cover,pop"
"1385","electro,comedy,rap"
"1386","latin pop,electro-pop,pop"
"1387","screen,soundtrack,cover,pop"
"1388","pop-rock,disco,cover,screen,soundtrack,pop"
"1389","horrorcore,rap"
"1390","soul,piano,ballad,pop,r&;b"
"1391","hip-hop,producer,memes,rap"
"1392","alternative,indie,screen,soundtrack,cover,pop"
"1393","soundtrack,screen,cover,pop"
"1394","rock,metal,progressive metal,melodic metalcore,alternative metal,heavy metal"
"1395","a cappella,cover,screen,tv,musicals,pop"
"1396","soundtrack,screen,mashup,cover,pop"
"1397","screen,cover,soundtrack,pop"
"1398","lgbtq+,cover,screen,soundtrack,pop"
"1399","rock,disney,teen pop,soundtrack,pop-rock,dance-pop,electro-pop,pop"
"1400","musicals,cover,screen,soundtrack,pop"
"1401","ballad,blue-eyed soul,soul,soundtrack,cover,pop"
"1402","tv,screen,power pop,hi-nrg,teen pop,dance-pop,electronic rock,soundtrack,pop,r&;b,news"
"1403","disney,soundtrack,teen pop,rock,pop-rock,dance-pop,electro-pop,pop"
"1404","ballad,rock,teen pop,disney,soundtrack,pop-rock,pop"
"1405","dirty south,hip-hop,trap,rap"
"1406","electro-pop,electronic,electro-hop,pop,rap"
"1407","dmv,electro house,eurodance,dance-pop,pop"
"1408","folk rock,folk,acoustic,adult alternative,adult contemporary,ballad,pop-rock,pop,rock"
"1409","screen,soundtrack,bassline,pop"
"1410","ballad,screen,soundtrack,pop"
"1411","electro-pop,dance-pop,hi-nrg,pop"
"1412","cover,soundtrack,screen,country,pop"
"1413","baroque pop,country"
"1414","alternative,alternative rock,electronic rock,rock,rap"
"1415","producer,west coast,rap"
"1416","bubblegum pop,teen pop,dance-pop,power pop,electro-pop,pop"
"1417","electro-pop,electronic,satire,electro,comedy,rap"
"1418","cover,electro-pop,screen,soundtrack,pop"
"1419","pop,r&;b,hip-hop,rap"
"1420","east coast,orchestral,trap,rap"
"1421","christmas,cover,lgbtq+,tv,screen,soundtrack,pop"
"1422","soundtrack,pop-punk,rock,emo,cover,pop"
"1423","cover,screen,rock,soundtrack,tv,pop"
"1424","mashup,screen,soundtrack,rock,cover,pop"
"1425","tv,soundtrack,screen,cover,pop"
"1426","tv,cover,soundtrack,pop"
"1427","soundtrack,screen,indie rock,cover,pop"
"1428","pop,conscious hip-hop,rap"
"1429","classical music,adult alternative,adult contemporary,ballad,pop-rock,baroque pop,classical crossover,pop,rock"
"1430","adult alternative,adult contemporary,alternative dance,alternative rock,new wave,pop-rock,pop,rock"
"1431","baroque pop,power pop,alternative pop,alternative,pop-rock,punk rock,alternative rock,pop-punk,rock"
"1432","alternative rock,alternative,indie pop,indie rock,art pop,art rock,rock"
"1433","soul,neo soul,r&;b"
"1434","tv,screen,hi-nrg,dance-pop,synth-pop,teen pop,electro-pop,pop-rock,electronic rock,soundtrack,pop"
"1435","grunge,blues rock,alternative rock,alternative,rock"
"1436","country,screen"
"1437","pop country,country,rock"
"1438","ballad,pop,rap"
"1439","pop country,power pop,country,pop"
"1440","hip-hop,posse cut,horrorcore,screen,producer,memes,rap"
"1441","rock,rap"
"1442","pop,synth-pop"
"1443","west coast,dmv,r&;b,rap"
"1444","electro,dance-pop,dance,eurodance,synth-pop,electro-pop,pop"
"1445","west coast,teen pop,boy band,pop"
"1446","conscious hip-hop,chill,neo-psychedelia,r&;b,rap"
"1447","alternative,alternative rock,christmas,ballad,rock"
"1448","soul,soul pop,r&;b,rap"
"1449","soul pop,soul,pop,r&;b"
"1450","latin pop,merengue,pop"
"1451","christmas,holiday,r&;b,pop"
"1452","atlanta,canada,producer,rap"
"1453","easy listening,screen,tv,soundtrack,teen pop,pop"
"1454","tv,soul,cover,soundtrack,screen,pop"
"1455","tv,screen,cover,soundtrack,pop"
"1456","tv,cover,soundtrack,screen,pop"
"1457","electronic pop,electronic,electro,dance-pop,electro-pop,pop"
"1458","a cappella,teen pop,tv,screen,cover,soundtrack,pop"
"1459","pop-rock,piano,indie pop,pop,rock"
"1460","screen,tv,reggae,soundtrack,cover,pop"
"1461","dance-pop,funk-pop,disco,pop"
"1462","electro,pop"
"1463","gaming,soundtrack,pop,rap"
"1464","adult alternative,adult contemporary,funk rock,pop-rock,rock,pop"
"1465","electronic,electronic pop,dance,pop"
"1466","rock,country,pop"
"1467","alternative rock,pop-punk,pop-rock,country"
"1468","pop-rock,country"
"1469","power pop,rock,country"
"1470","screen,tv,soundtrack,cover,musicals,pop"
"1471","jazz,pop"
"1472","power pop,pop-rock,pop,rap"
"1473","adult contemporary,easy listening,tv,screen,soundtrack,cover,pop"
"1474","synth-pop,rap"
"1475","producer,pop,rap"
"1476","nu-metal,alternative rock,electronic rock,electronic,rock"
"1477","screen,tv,cover,soundtrack,religion,pop"
"1478","folk,pop,pop-rock"
"1479","pop-rock,adult contemporary,adult alternative,easy listening,alternative,acoustic,ballad,pop-punk,rock"
"1480","christian,cover,gospel,screen,soundtrack,pop"
"1481","ballad,indie pop,acoustic,tv,screen,soundtrack,cover,pop"
"1482","alternative,hip-hop,rap rock,reggae,rap,pop"
"1483","synth rock,electronic rock,alternative pop,alternative,alternative rock,pop-punk,punk rock,pop-rock,rock"
"1484","r&;b,cover,screen,soundtrack,pop"
"1485","trap,dirty south,crunk,hip-hop,rap"
"1486","pop-rock,ireland,pop"
"1487","r&;b,rock,rap"
"1488","remix,jamaica,dancehall,rap"
"1489","dance,electro-pop,electronic,pop"
"1490","pop-rock,pop,ireland,rock"
"1491","new wave,electronica,electro-pop,synth-pop,pop"
"1492","electronic,electro-pop,synth-pop,eurodance,dance-pop,pop"
"1493","producer,r&;b,pop"
"1494","pop-rock,teen pop,pop"
"1495","memes,news,youtube,rap"
"1496","soul pop,pop,soul,r&;b,rap"
"1497","alternative metal,alternative rock,grunge,rock"
"1498","country,pop-rock,rock"
"1499","gothic rock,pop"
"1500","west coast,r&;b,pop,rap"
"1501","alternative metal,metal,rock"
"1502","polska,em portugu\xc3\xaas,en espa\xc3\xb1ol,pop"
"1503","pop-punk,pop-rock,electronic,dance-pop,electro-pop,pop"
"1504","r&;b,pop-rock,pop"
"1505","football (soccer),rap"
"1506","dancehall,reggae,rap,r&;b,pop"
"1507","synth-pop,electronic,electro-pop,dance-pop,pop"
"1508","ballad,pop-rock,glam rock,pop"
"1509","heavy metal,nu-metal,rock"
"1510","pop,producer,r&;b"
"1511","tv,cover,screen,soundtrack,pop"
"1512","tv,screen,soundtrack,cover,pop"
"1513","cover,opera,tv,screen,soundtrack,pop"
"1514","soul,r&;b"
"1515","electro,dancehall,pop"
"1516","memes,dance-pop,dance,electronic,electro-pop,canada,rap,pop"
"1517","piano,singer-songwriter,pop-rock,adult alternative,folk rock,rock"
"1518","house,new jack swing,funk,r&;b,tv,screen,soundtrack,cover,pop"
"1519","pop-rock,rock,tv,cover,screen,soundtrack,pop"
"1520","east coast,west coast,rap"
"1521","pop,pop-rock,rock"
"1522","rock,tv,cover,screen,soundtrack,pop"
"1523","cover,tv,screen,soundtrack,pop"
"1524","tv,soundtrack,screen,pop-rock,rock,cover,pop"
"1525","screen,soundtrack,indie rock,alternative,alternative rock,rock"
"1526","cover,tv,screen,soundtrack,electro-pop,pop"
"1527","electro-pop,dance-pop,rap,pop"
"1528","neo soul,soul,r&;b"
"1529","disco,electro-pop,teen pop,dance-pop,pop"
"1530","west coast,canada,east coast,motown,r&;b,pop,rap"
"1531","adult alternative,adult contemporary,alternative rock,christian,pop-rock,rock,pop"
"1532","tv,screen,soundtrack,r&;b,cover,pop"
"1533","musicals,tv,screen,cover,soundtrack,pop"
"1534","soundtrack,tv,screen,cover,pop"
"1535","tv,cover,soundtrack,screen,rap,pop"
"1536","tv,soundtrack,screen,remix,cover,pop"
"1537","tv,soundtrack,screen,r&;b,cover,pop"
"1538","post-grunge,alternative metal,rock"
"1539","tv,soundtrack,screen,cover,mashup,pop"
"1540","r&;b,tv,cover,screen,soundtrack,pop"
"1541","tv,cover,rock,screen,soundtrack,pop"
"1542","pop,west coast,electro-pop,dance-pop,boy band"
"1543","rock,tv,screen,soundtrack,cover,pop"
"1544","soul,pop,r&;b,rap"
"1545","adult alternative,indie rock,rock"
"1546","screen,tv,soundtrack,cover,pop"
"1547","tv,dance-pop,dance,cover,screen,soundtrack,pop"
"1548","screen,soundtrack,tv,cover,pop"
"1549","tv,soundtrack,screen,rock,cover,pop"
"1550","pop country,country,pop"
"1551","adult alternative,acoustic,ballad,rock"
"1552","uk,pop,r&;b,rap"
"1553","r&;b,soul,soul pop,pop"
"1554","ballad,rock,adult alternative,pop-rock,pop,reggae"
"1555","soul pop,rock,soul,pop,r&;b"
"1556","synth-pop,electronic,memes,pop"
"1557","canada,rock"
"1558","adult alternative,alternative rock,synth rock,electronic rock,indie rock,rock"
"1559","pop country,pop-rock,pop-punk,ballad,country,pop"
"1560","rock,pop-punk,punk rock,rap"
"1561","nba,canada,r&;b,basketball,soundtrack,rap"
"1562","pop,new wave,dance-pop"
"1563","adult alternative,pop-rock,country,roots,rock"
"1564","electronic,dance,electro-pop,pop"
"1565","ballad,acoustic,pop-rock,rock"
"1566","dmv,crunk,rap"
"1567","soundtrack,alternative rock,progressive rock,art rock,rock"
"1568","rap,synth-pop,pop"
"1569","soul pop,neo soul,synth-pop,r&;b,pop"
"1570","post-grunge,alternative metal,alternative rock,rock"
"1571","blues,rock"
"1572","rap rock,r&;b,pop,rap"
"1573","funk,pop,rock"
"1574","alternative rock,power pop,pop-punk,rock"
"1575","alternative rock,rock,pop-rock,pop"
"1576","crunk,r&;b,pop"
"1577","alternative rock,alternative,rock"
"1578","tv,soundtrack,screen,pop-rock,cover,pop"
"1579","tv,big band,musicals,cover,pop,screen,soundtrack"
"1580","tv,screen,soundtrack,a cappella,cover,pop"
"1581","dmv,rap"
"1582","cover,christmas,pop"
"1583","soundtrack,tv,screen,musicals,r&;b,soul,cover,pop"
"1584","dancehall,ska punk,ska,adult alternative,pop,reggae,rap"
"1585","blues rock,singer-songwriter,adult alternative,acoustic,rock,pop,pop-rock"
"1586","hip-hop,beef,r&;b,pop"
"1587","pop-rock,glam rock,pop"
"1588","tv,screen,soundtrack,ballad,cover,pop"
"1589","tv,screen,ballad,soundtrack,cover,pop"
"1590","pop,rock,glam rock"
"1591","pop,neo soul,r&;b"
"1592","crunk,east coast,electro-pop,pop,r&;b,rap"
"1593","tv,screen,soundtrack,cover,ballad,pop"
"1594","tv,mashup,cover,screen,soundtrack,pop"
"1595","screen,tv,soundtrack,cover,ballad,pop"
"1596","cover,screen,soundtrack,tv,musicals,pop"
"1597","cover,ballad,screen,soundtrack,pop"
"1598","pop,pop-punk,pop-rock"
"1599","alternative,blues,rock"
"1600","dmv,canada,rap"
"1601","r&;b,gospel"
"1602","adult alternative,alternative rock,indie rock,rock"
"1603","adult contemporary,cover,screen,soundtrack,tv,pop"
"1604","eurodance,rap"
"1605","electronic,dance,pop,rap"
"1606","crunk,rap"
"1607","r&;b,cover,screen,soundtrack,tv,rap"
"1608","motown,r&;b,pop,canada,rap"
"1609","cover,screen,r&;b,soundtrack,tv,pop"
"1610","mashup,tv,screen,soundtrack,cover,pop"
"1611","k-pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),korean,pop"
"1612","tv,screen,soundtrack,cover,mashup,pop"
"1613","pop-rock,power pop,pop"
"1614","cover,screen,soundtrack,tv,rock,pop"
"1615","alternative,alternative rock,electronic rock,electronic,rock"
"1616","pop-punk,emo,alternative rock,rock"
"1617","pop,cover,screen,soundtrack,tv,musicals"
"1618","adult contemporary,adult alternative,pop-rock,pop,rock"
"1619","cover,screen,soundtrack,tv,pop"
"1620","pop,soul pop,soul,r&;b"
"1621","adult alternative,adult contemporary,pop,pop-rock,rock"
"1622","disney,soundtrack,pop-rock,country,pop"
"1623","r&;b,cover,screen,soundtrack,tv,pop"
"1624","adult contemporary,adult alternative,post-grunge,alternative rock,rock"
"1625","west coast,east coast,funk,pop,soul pop,soul,r&;b"
"1626","glam rock,pop-rock,power pop,rock,tv,disney,soundtrack,pop"
"1627","christian rock,christian,rock"
"1628","power pop,pop-rock,pop"
"1629","dance,electro-pop,pop"
"1630","pop,alternative rock,rock"
"1631","pop,pop-rock,power pop"
"1632","alternative pop,adult alternative,indie rock,pop,indie pop"
"1633","dance-pop,indie pop,new wave,rock"
"1634","pop-rock,disney,soundtrack,pop"
"1635","punk rock,alternative rock,pop-rock,pop-punk,rock"
"1636","baroque pop,glam rock,pop-rock,pop,rock"
"1637","pop,electronic,r&;b,rap"
"1638","pop-rock,rock"
"1639","alternative,emo,alternative rock,pop-punk,rock"
"1640","disney,children&#39;s music,soundtrack,pop"
"1641","rock,pop,pop-rock"
"1642","cover,post-grunge,rock"
"1643","comedy,rap"
"1644","rock,electronic rock,dance,electro-pop,pop"
"1645","adult alternative,alternative rock,folk rock,rock"
"1646","synth-pop,r&;b,rap"
"1647","pop,american idol"
