year,lyr_des,gen_cate,lyr_gen,n_lyr,n_gen,n_lyr_gen,total,p_lyrics,p_lyr_lci,p_lyr_uci,p_genre,p_gen_lci,p_gen_uci,p_lyrgen,p_lyrgen_lci,p_lyrgen_uci
2009,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1373,1103,384,5000,27.46,26.230713038011316,28.72417458368694,22.06,20.922551442798092,23.240720786329323,34.814143245693565,32.01556227497858,37.719830190886846
2009,other_illicit,gen_rap,"other_illicit,gen_rap",1373,1497,668,5000,27.46,26.230713038011316,28.72417458368694,29.94,28.676448299937896,31.234594412726562,44.62257849031396,42.08825160701319,47.18479743385893
2009,other_illicit,gen_rock,"other_illicit,gen_rock",1373,1853,389,5000,27.46,26.230713038011316,28.72417458368694,37.059999999999995,35.721805661383414,38.4182108188733,20.992984349703185,19.173585518449674,22.93414717519626
2010,marijuana,gen_country,"marijuana,gen_country",1049,1153,237,4885,21.473899692937565,20.334982442360168,22.658044545411464,23.6028659160696,22.42305163735322,24.82452022526094,20.555073720728533,18.28074450827732,23.028581555498455
2010,marijuana,gen_hiphop,"marijuana,gen_hiphop",1049,1141,250,4885,21.473899692937565,20.334982442360168,22.658044545411464,23.357215967246674,22.181901219667935,24.574761410965774,21.910604732690622,19.56498350349577,24.448164428083246
2010,marijuana,gen_rap,"marijuana,gen_rap",1049,1564,487,4885,21.473899692937565,20.334982442360168,22.658044545411464,32.01637666325487,30.71253832520159,33.3486976506742,31.138107416879794,28.860513762554202,33.50941604351853
2010,marijuana,gen_rock,"marijuana,gen_rock",1049,1430,265,4885,21.473899692937565,20.334982442360168,22.658044545411464,29.273285568065504,28.003894196876477,30.57551056894758,18.53146853146853,16.569437701486688,20.66503749490038
2010,alcohol,gen_country,"alcohol,gen_country",341,1153,95,4885,6.980552712384852,6.289518782157979,7.7401595240806405,23.6028659160696,22.42305163735322,24.82452022526094,8.23937554206418,6.74806559337155,10.015566408499064
2010,alcohol,gen_hiphop,"alcohol,gen_hiphop",341,1141,57,4885,6.980552712384852,6.289518782157979,7.7401595240806405,23.357215967246674,22.181901219667935,24.574761410965774,4.995617879053462,3.8372038384594895,6.466430393518493
2010,alcohol,gen_rap,"alcohol,gen_rap",341,1564,140,4885,6.980552712384852,6.289518782157979,7.7401595240806405,32.01637666325487,30.71253832520159,33.3486976506742,8.951406649616368,7.605662559145351,10.502829878623245
2010,alcohol,gen_rock,"alcohol,gen_rock",341,1430,59,4885,6.980552712384852,6.289518782157979,7.7401595240806405,29.273285568065504,28.003894196876477,30.57551056894758,4.125874125874126,3.181286721536041,5.324535469943899
2010,other_illicit,gen_country,"other_illicit,gen_country",1459,1153,231,4885,29.86693961105425,28.589633831441446,31.17613712862563,23.6028659160696,22.42305163735322,24.82452022526094,20.034692107545535,17.784195495211705,22.48792269144535
2010,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1459,1141,429,4885,29.86693961105425,28.589633831441446,31.17613712862563,23.357215967246674,22.181901219667935,24.574761410965774,37.598597721297104,34.79106514635454,40.490650178454565
2010,other_illicit,gen_rap,"other_illicit,gen_rap",1459,1564,766,4885,29.86693961105425,28.589633831441446,31.17613712862563,32.01637666325487,30.71253832520159,33.3486976506742,48.9769820971867,46.4731939248369,51.48584798979123
2010,other_illicit,gen_rock,"other_illicit,gen_rock",1459,1430,303,4885,29.86693961105425,28.589633831441446,31.17613712862563,29.273285568065504,28.003894196876477,30.57551056894758,21.188811188811187,19.11582640741492,23.418717699452973
2011,marijuana,gen_country,"marijuana,gen_country",1178,1278,314,4855,24.263645726055614,23.068358070979208,25.499975706333284,26.323377960865084,25.093544762087696,27.590960295260462,24.56964006259781,22.25017899326673,27.044043426466914
2011,marijuana,gen_hiphop,"marijuana,gen_hiphop",1178,1167,277,4855,24.263645726055614,23.068358070979208,25.499975706333284,24.03707518022657,22.845812865740058,25.269742257942422,23.736075407026565,21.34248681166266,26.305022688911357
2011,marijuana,gen_rap,"marijuana,gen_rap",1178,1631,537,4855,24.263645726055614,23.068358070979208,25.499975706333284,33.59423274974253,32.268892186046635,34.945715506443364,32.924586143470265,30.65631924696919,35.27417594170534
2011,marijuana,gen_rock,"marijuana,gen_rock",1178,1705,359,4855,24.263645726055614,23.068358070979208,25.499975706333284,35.11843460350155,33.77777077876752,36.48280992611736,21.055718475073316,19.158367934652738,23.08517058050965
2011,alcohol,gen_country,"alcohol,gen_country",140,1278,14,4855,2.883625128733265,2.439385220989021,3.403990824687938,26.323377960865084,25.093544762087696,27.590960295260462,1.0954616588419406,0.6244499215076275,1.8790257217112198
2011,alcohol,gen_hiphop,"alcohol,gen_hiphop",140,1167,25,4855,2.883625128733265,2.439385220989021,3.403990824687938,24.03707518022657,22.845812865740058,25.269742257942422,2.1422450728363325,1.4204738481788923,3.193941926482511
2011,alcohol,gen_rap,"alcohol,gen_rap",140,1631,54,4855,2.883625128733265,2.439385220989021,3.403990824687938,33.59423274974253,32.268892186046635,34.945715506443364,3.310852237890864,2.51961311378128,4.329182706113129
2011,alcohol,gen_rock,"alcohol,gen_rock",140,1705,61,4855,2.883625128733265,2.439385220989021,3.403990824687938,35.11843460350155,33.77777077876752,36.48280992611736,3.5777126099706744,2.769478959566947,4.601546572809853
2011,other_illicit,gen_country,"other_illicit,gen_country",1890,1278,428,4855,38.92893923789907,37.55644482445207,40.31907087436432,26.323377960865084,25.093544762087696,27.590960295260462,33.48982785602504,30.9169371543588,36.16316857831663
2011,other_illicit,gen_hiphop,"other_illicit,gen_hiphop",1890,1167,581,4855,38.92893923789907,37.55644482445207,40.31907087436432,24.03707518022657,22.845812865740058,25.269742257942422,49.78577549271637,46.87983789242748,52.69313976849806
2011,other_illicit,gen_rap,"other_illicit,gen_rap",1890,1631,912,4855,38.92893923789907,37.55644482445207,40.31907087436432,33.59423274974253,32.268892186046635,34.945715506443364,55.91661557326793,53.46523365056078,58.33983909263702
2011,other_illicit,gen_rock,"other_illicit,gen_rock",1890,1705,464,4855,38.92893923789907,37.55644482445207,40.31907087436432,35.11843460350155,33.77777077876752,36.48280992611736,27.21407624633431,25.1259569533885,29.406060688188894
2012,marijuana,gen_country,"marijuana,gen_country",1104,1204,200,4895,22.553626149131766,21.394596911018773,23.756075225082796,24.59652706843718,23.400282018630563,25.832949858984662,16.611295681063122,14.576566957399335,18.862588814284425
2012,marijuana,gen_hiphop,"marijuana,gen_hiphop",1104,1080,327,4895,22.553626149131766,21.394596911018773,23.756075225082796,22.06332992849847,20.913813898884335,23.25704443995774,30.277777777777775,27.566484701445663,33.13123081760116
2012,marijuana,gen_rap,"marijuana,gen_rap",1104,1525,619,4895,22.553626149131766,21.394596911018773,23.756075225082796,31.15423901940756,29.861966326591254,32.47630036045004,40.59016393442623,38.11976685350411,43.10847669521504
2012,marijuana,gen_rock,"marijuana,gen_rock",1104,1844,231,4895,22.553626149131766,21.394596911018773,23.756075225082796,37.67109295199183,36.31368499247068,39.0479819352339,12.527114967462039,11.068036760990054,14.144786687104869
2012,alcohol,gen_country,"alcohol,gen_country",303,1204,84,4895,6.189989785495404,5.538988882477604,6.910736391650166,24.59652706843718,23.400282018630563,25.832949858984662,6.976744186046512,5.63291402602175,8.602089256880822
2012,alcohol,gen_hiphop,"alcohol,gen_hiphop",303,1080,83,4895,6.189989785495404,5.538988882477604,6.910736391650166,22.06332992849847,20.913813898884335,23.25704443995774,7.685185185185185,6.200579154676418,9.478431529634104
2012,alcohol,gen_rap,"alcohol,gen_rap",303,1525,83,4895,6.189989785495404,5.538988882477604,6.910736391650166,31.15423901940756,29.861966326591254,32.47630036045004,5.442622950819672,4.382435555492567,6.733134269497946
